                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3063,                 3.7871,                 1.7115,                0.00267,                  0.775,                0.01464,                0.00649,                 1.4445,                 4.1728,                 2.0839,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.3171,                 3.6705,                 1.7166,                0.00255,                  0.725,                0.01684,                0.00775,                 1.4301,                 4.1838,                 2.0877,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      3,                  1.344,                 3.7056,                 1.7202,                0.00327,                   0.95,                0.06185,                0.03507,                0.95133,                  3.942,                 1.5363,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.0231,                 3.3728,                 1.4013,                0.00354,                  0.975,                0.37408,                0.19401,                0.81771,                 3.6446,                 1.2252,             0.00012933,             0.00012933,             0.00012933
                      5,                 1.0126,                 3.1461,                 1.3491,                0.00383,                      1,                0.50604,                0.37343,                 0.7243,                 3.3998,                 1.1175,             0.00016114,             0.00016114,             0.00016114
                      6,                0.95906,                 2.5647,                  1.244,                0.00399,                      1,                0.63491,                0.50329,                0.68558,                 3.2731,                 1.1034,             0.00019146,             0.00019146,             0.00019146
                      7,                0.90468,                 2.3315,                 1.1947,                0.00384,                      1,                0.71594,                0.55589,                0.68788,                 3.1547,                 1.0956,              0.0002203,              0.0002203,              0.0002203
                      8,                0.79491,                 2.1136,                  1.188,                0.00372,                      1,                0.74054,                0.56759,                 0.7224,                 3.1409,                 1.1229,             0.00024765,             0.00024765,             0.00024765
                      9,                0.82686,                 1.9463,                 1.1925,                0.00357,                      1,                 0.8339,                0.64031,                0.73924,                 3.1621,                 1.1836,             0.00027352,             0.00027352,             0.00027352
                     10,                0.80454,                 1.6313,                 1.1701,                 0.0036,                      1,                0.78974,                0.60017,                0.74346,                 3.1823,                 1.2091,              0.0002979,              0.0002979,              0.0002979
                     11,                0.79762,                 1.9717,                 1.2222,                0.31286,                0.77467,                0.66898,                0.49071,                0.84407,                 3.2701,                  1.302,              0.0003208,              0.0003208,              0.0003208
                     12,                 0.7606,                 1.5311,                 1.1672,                 0.8836,                0.54356,                0.69827,                0.48376,                0.89001,                 3.2273,                 1.3196,             0.00034221,             0.00034221,             0.00034221
                     13,                0.76304,                 1.6581,                 1.1473,                      1,                0.41627,                0.74928,                0.52704,                0.90356,                 3.0198,                 1.2583,             0.00036214,             0.00036214,             0.00036214
                     14,                0.73807,                  1.554,                 1.1845,                0.99778,                 0.4474,                 0.7502,                0.55925,                0.81038,                 2.9874,                 1.1724,             0.00038058,             0.00038058,             0.00038058
                     15,                0.84617,                 1.5813,                 1.1735,                0.66631,                    0.7,                0.75091,                0.58096,                0.73352,                 3.1032,                 1.1299,             0.00039754,             0.00039754,             0.00039754
                     16,                0.79782,                 1.4922,                 1.1545,                0.99343,                0.41442,                0.79735,                 0.6342,                0.69041,                 3.0085,                 1.0958,             0.00041301,             0.00041301,             0.00041301
                     17,                0.82589,                 1.5723,                 1.1545,                0.98415,                0.54117,                0.84403,                0.70028,                0.65431,                 2.6953,                  1.092,               0.000427,               0.000427,               0.000427
                     18,                0.80182,                 1.3456,                  1.197,                0.98341,                0.61942,                0.85948,                0.73327,                0.62721,                 2.5406,                 1.0696,              0.0004395,              0.0004395,              0.0004395
                     19,                 0.7108,                  1.331,                 1.1361,                0.97055,                  0.675,                0.86108,                 0.7411,                0.66163,                 2.6031,                 1.0894,             0.00045052,             0.00045052,             0.00045052
                     20,                0.72621,                 1.3359,                 1.0843,                0.96417,                  0.675,                0.86069,                0.72835,                0.69396,                 2.6968,                 1.1153,             0.00046005,             0.00046005,             0.00046005
                     21,                 0.7152,                 1.2985,                 1.0682,                0.97291,                  0.675,                0.84526,                0.71992,                0.71963,                 2.7446,                 1.1387,              0.0004681,              0.0004681,              0.0004681
                     22,                0.61768,                 1.3253,                 1.0294,                0.97115,                 0.6669,                0.87997,                 0.7441,                0.69696,                 2.7023,                 1.1493,             0.00047466,             0.00047466,             0.00047466
                     23,                0.65538,                 1.3569,                 1.0885,                0.97109,                0.66733,                0.95242,                0.80031,                0.64061,                 2.5054,                 1.1398,             0.00047974,             0.00047974,             0.00047974
                     24,                0.79907,                 1.4003,                 1.1536,                0.96414,                  0.675,                0.94837,                0.79728,                0.64415,                 2.3678,                 1.1421,             0.00048333,             0.00048333,             0.00048333
                     25,                 0.7009,                 1.2713,                  1.112,                0.95473,                  0.675,                 0.9466,                0.79092,                0.64334,                  2.359,                 1.1422,             0.00048544,             0.00048544,             0.00048544
                     26,                0.65005,                  1.192,                 1.0698,                0.94163,                  0.675,                0.94073,                0.80019,                0.63653,                 2.3293,                 1.1558,             0.00048606,             0.00048606,             0.00048606
                     27,                0.62505,                 1.1661,                 1.0062,                0.93874,                  0.675,                0.94142,                0.80077,                0.63645,                  2.286,                 1.1326,              0.0004852,              0.0004852,              0.0004852
                     28,                0.66812,                  1.135,                 1.0915,                0.96062,                0.73985,                0.94695,                0.82367,                0.60061,                 2.1967,                 1.0998,             0.00048285,             0.00048285,             0.00048285
                     29,                0.69853,                 1.1285,                 1.0739,                0.96062,                0.73985,                0.94695,                0.82367,                0.60061,                 2.1967,                 1.0998,             0.00047902,             0.00047902,             0.00047902
                     30,                0.66576,                   1.26,                 1.1375,                 0.9549,                0.88594,                0.94719,                0.81397,                0.60948,                 2.0887,                  1.113,              0.0004737,              0.0004737,              0.0004737
                     31,                0.64462,                 1.1063,                 1.0389,                0.94825,                  0.892,                0.94777,                0.80875,                0.60997,                 1.9973,                 1.1237,              0.0004669,              0.0004669,              0.0004669
                     32,                0.67368,                 1.1713,                 1.1163,                0.94391,                0.90962,                0.94851,                0.81517,                0.58303,                 1.8834,                 1.1106,             0.00045861,             0.00045861,             0.00045861
                     33,                 0.6915,                 1.1128,                 1.0304,                0.94391,                0.90962,                0.94851,                0.81517,                0.58303,                 1.8834,                 1.1106,             0.00044884,             0.00044884,             0.00044884
                     34,                0.62594,                 1.1354,                 1.0707,                0.94038,                0.91318,                0.95137,                0.81226,                0.58218,                 1.7831,                 1.1264,             0.00043325,             0.00043325,             0.00043325
                     35,                0.63885,                 1.2542,                 1.0201,                0.94006,                0.92578,                0.95287,                0.81094,                0.60483,                 1.6472,                 1.1616,             0.00043325,             0.00043325,             0.00043325
                     36,                0.72144,                 1.3882,                 1.1351,                0.94049,                0.93436,                0.95616,                0.82444,                0.60073,                 1.5499,                 1.1644,              0.0004085,              0.0004085,              0.0004085
                     37,                0.52999,                 1.0005,                0.97827,                0.94049,                0.93436,                0.95616,                0.82444,                0.60073,                 1.5499,                 1.1644,             0.00038375,             0.00038375,             0.00038375
                     38,                0.64555,                 1.0828,                 1.0677,                0.94171,                0.93302,                0.95961,                0.80891,                0.61399,                 1.5117,                 1.1814,               0.000359,               0.000359,               0.000359
                     39,                 0.6499,                 1.1024,                 1.0254,                0.92031,                0.93044,                0.96236,                0.81653,                0.62181,                  1.519,                 1.1831,             0.00033425,             0.00033425,             0.00033425
                     40,                0.63958,                 1.1524,                 1.0583,                0.90927,                0.93826,                0.96824,                0.82112,                0.61852,                 1.5916,                 1.1705,              0.0003095,              0.0003095,              0.0003095
                     41,                0.50166,                 1.3808,                0.96389,                0.90927,                0.93826,                0.96824,                0.82112,                0.61852,                 1.5916,                 1.1705,             0.00028475,             0.00028475,             0.00028475
                     42,                0.49888,                 1.3623,                0.97892,                0.91267,                0.93445,                0.96824,                0.81963,                0.63199,                 1.6451,                  1.185,                0.00026,                0.00026,                0.00026
                     43,                0.47203,                 1.3565,                0.97881,                0.93847,                0.93567,                0.96684,                0.80337,                0.64783,                 1.6139,                 1.1912,             0.00023525,             0.00023525,             0.00023525
                     44,                0.43883,                 1.3178,                0.97972,                0.94048,                   0.95,                0.96431,                0.79909,                0.65337,                 1.5719,                 1.1872,              0.0002105,              0.0002105,              0.0002105
                     45,                0.45228,                 1.3508,                0.98103,                0.94048,                   0.95,                0.96431,                0.79909,                0.65337,                 1.5719,                 1.1872,             0.00018575,             0.00018575,             0.00018575
                     46,                0.48071,                 1.3531,                0.99102,                0.96868,                0.94622,                0.96147,                0.80155,                 0.6608,                 1.4818,                 1.1921,               0.000161,               0.000161,               0.000161
                     47,                0.42132,                 1.3518,                 0.9607,                0.97444,                0.94759,                0.96061,                0.80506,                0.64953,                  1.402,                 1.1762,             0.00013625,             0.00013625,             0.00013625
                     48,                 0.3754,                 1.3268,                0.92309,                0.97208,                0.94485,                 0.9599,                0.80654,                 0.6185,                 1.3201,                 1.1421,              0.0001115,              0.0001115,              0.0001115
                     49,                0.39012,                 1.3147,                0.96813,                0.97208,                0.94485,                 0.9599,                0.80654,                 0.6185,                 1.3201,                 1.1421,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.45143,                 1.3382,                 1.0258,                0.97607,                0.94822,                0.95929,                0.81347,                0.59786,                 1.2781,                  1.121,                6.2e-05,                6.2e-05,                6.2e-05
