                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3246,                 3.7958,                 1.7272,                0.00268,                  0.775,                0.02291,                 0.0098,                 1.3611,                 4.5489,                 1.9854,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.4096,                 3.7815,                 1.7648,                0.00323,                   0.95,                0.04849,                0.02138,                 1.1113,                 4.3184,                 1.6832,             6.1881e-05,             6.1881e-05,             6.1881e-05
                      3,                0.99289,                 3.5567,                 1.4762,                0.00344,                      1,                0.22168,                0.11559,                0.87294,                 4.0844,                 1.3896,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                0.89011,                 3.3183,                 1.3338,                0.00359,                      1,                0.52977,                0.37147,                 0.7409,                  3.896,                 1.1936,             0.00013342,             0.00013342,             0.00013342
                      5,                0.94873,                  2.968,                 1.3222,                0.00367,                      1,                 0.6428,                0.49285,                0.69188,                 3.6099,                 1.0963,             0.00016807,             0.00016807,             0.00016807
                      6,                0.88046,                 2.5222,                 1.2835,                      1,                0.23271,                0.66708,                0.52581,                0.66664,                 3.4262,                 1.0821,             0.00020198,             0.00020198,             0.00020198
                      7,                0.76135,                 2.1542,                 1.1165,                0.60981,                  0.675,                0.87606,                0.65413,                0.70524,                 3.3075,                 1.1057,             0.00023515,             0.00023515,             0.00023515
                      8,                0.88078,                 2.0742,                 1.2352,                0.00369,                      1,                0.91067,                0.67496,                 0.6569,                 3.2802,                 1.0788,             0.00026758,             0.00026758,             0.00026758
                      9,                0.76874,                 1.9105,                 1.1792,                0.00368,                      1,                0.93134,                0.75115,                0.63866,                 3.2652,                 1.0396,             0.00029926,             0.00029926,             0.00029926
                     10,                0.81127,                 1.7952,                 1.1598,                0.00373,                      1,                 0.9198,                0.70079,                0.67883,                 3.2846,                 1.0761,              0.0003302,              0.0003302,              0.0003302
                     11,                0.80384,                  1.752,                 1.1329,                0.00374,                      1,                0.85949,                0.61731,                 0.7803,                 3.3695,                  1.154,              0.0003604,              0.0003604,              0.0003604
                     12,                0.72036,                 1.6544,                 1.1008,                0.00372,                      1,                0.83624,                0.56727,                0.82913,                 3.3712,                 1.1802,             0.00038986,             0.00038986,             0.00038986
                     13,                0.76862,                 1.6375,                 1.1132,                      1,                0.16659,                   0.85,                0.53832,                0.93542,                  3.267,                 1.2731,             0.00041857,             0.00041857,             0.00041857
                     14,                0.80655,                 1.5225,                  1.183,                      1,                0.20937,                0.89026,                0.60144,                0.93045,                 3.1889,                 1.2546,             0.00044654,             0.00044654,             0.00044654
                     15,                0.77816,                 1.5012,                 1.1559,                0.81224,                0.71866,                 0.8531,                 0.6721,                0.74419,                 3.1706,                 1.1227,             0.00047377,             0.00047377,             0.00047377
                     16,                0.77032,                 1.3467,                 1.1233,                 0.9934,                0.31464,                0.85952,                0.64913,                0.72564,                 3.1999,                  1.108,             0.00050026,             0.00050026,             0.00050026
                     17,                0.77734,                 1.5183,                 1.1263,                0.99099,                0.43776,                0.86373,                0.67571,                0.72692,                  3.064,                 1.1213,               0.000526,               0.000526,               0.000526
                     18,                0.66182,                 1.4591,                 1.0779,                0.97589,                0.70251,                0.91979,                0.73437,                0.75292,                 2.7093,                 1.1388,               0.000551,               0.000551,               0.000551
                     19,                0.74067,                 1.3381,                  1.117,                0.98279,                0.88907,                0.92782,                0.71046,                0.82153,                 2.3822,                 1.1926,             0.00057526,             0.00057526,             0.00057526
                     20,                 0.8062,                 1.3739,                 1.1473,                0.92494,                0.83431,                0.92846,                0.75723,                0.71114,                 2.2971,                 1.1098,             0.00059878,             0.00059878,             0.00059878
                     21,                0.55846,                  1.156,                0.96854,                0.92739,                0.83208,                0.93801,                0.79155,                0.68012,                 2.3573,                 1.0633,             0.00062155,             0.00062155,             0.00062155
                     22,                0.63456,                 1.4031,                  1.048,                0.93979,                0.71712,                0.93376,                0.77665,                0.68705,                 2.5178,                 1.0418,             0.00064358,             0.00064358,             0.00064358
                     23,                0.64241,                 1.2473,                 1.0709,                0.94138,                 0.6585,                0.93384,                0.76233,                0.67087,                 2.6508,                 1.0357,             0.00066487,             0.00066487,             0.00066487
                     24,                0.64502,                 1.2317,                0.99592,                0.96658,                  0.725,                0.92975,                0.77075,                0.65935,                 2.6319,                 1.0493,             0.00068542,             0.00068542,             0.00068542
                     25,                 0.6648,                 1.3456,                 1.0874,                0.94268,                0.80504,                0.93142,                0.77332,                0.69331,                  2.381,                 1.0888,             0.00070522,             0.00070522,             0.00070522
                     26,                0.60518,                 1.3667,                 1.0242,                0.94394,                0.90391,                0.93409,                0.77949,                0.70892,                 2.0811,                  1.106,             0.00072428,             0.00072428,             0.00072428
                     27,                0.57474,                 1.0647,                0.96371,                0.95817,                0.91229,                0.93465,                0.74861,                0.72605,                 1.9095,                 1.1262,              0.0007426,              0.0007426,              0.0007426
                     28,                0.63857,                 1.1168,                 1.0203,                0.95752,                  0.925,                 0.9405,                0.72982,                0.85613,                 1.9946,                 1.2509,             0.00076018,             0.00076018,             0.00076018
                     29,                0.66423,                 1.2029,                 1.0337,                0.95752,                  0.925,                 0.9405,                0.72982,                0.85613,                 1.9946,                 1.2509,             0.00077701,             0.00077701,             0.00077701
                     30,                0.71436,                 1.1809,                 1.0934,                0.96218,                0.93951,                0.94858,                0.68222,                 0.9927,                  2.117,                 1.3511,              0.0007931,              0.0007931,              0.0007931
                     31,                0.75576,                 1.2429,                 1.0883,                0.97181,                0.92694,                0.94966,                0.63212,                 1.1626,                 2.2833,                 1.4624,             0.00080845,             0.00080845,             0.00080845
                     32,                0.67897,                 1.1732,                 1.0658,                0.94175,                   0.95,                0.94573,                0.58738,                 1.2766,                 2.1902,                 1.5738,             0.00082306,             0.00082306,             0.00082306
                     33,                0.78413,                 1.2296,                 1.1178,                0.94175,                   0.95,                0.94573,                0.58738,                 1.2766,                 2.1902,                 1.5738,             0.00083692,             0.00083692,             0.00083692
                     34,                0.71347,                 1.2187,                 1.0951,                0.91927,                0.92014,                0.95143,                0.64152,                 1.2145,                 2.0612,                 1.4999,             0.00084162,             0.00084162,             0.00084162
                     35,                0.66009,                 1.1953,                 1.0338,                0.94476,                0.90375,                 0.9473,                0.67885,                 1.0855,                 2.0261,                 1.3769,             0.00084162,             0.00084162,             0.00084162
                     36,                0.63435,                 1.1184,                 0.9938,                0.88579,                0.89082,                0.94733,                0.72752,                0.89627,                 1.7439,                 1.2206,             0.00082925,             0.00082925,             0.00082925
                     37,                0.72947,                 1.2246,                 1.0794,                0.88579,                0.89082,                0.94733,                0.72752,                0.89627,                 1.7439,                 1.2206,             0.00081688,             0.00081688,             0.00081688
                     38,                0.69848,                 1.2761,                 1.0823,                0.90985,                0.85045,                0.94759,                0.75602,                0.76836,                 1.5767,                 1.0924,              0.0008045,              0.0008045,              0.0008045
                     39,                0.68154,                  1.136,                 1.0283,                0.93614,                0.94008,                0.94662,                 0.7579,                0.73967,                 1.5337,                 1.0764,             0.00079213,             0.00079213,             0.00079213
                     40,                0.73175,                 1.1232,                 1.1228,                0.97833,                0.93248,                0.94618,                0.79074,                0.72038,                  1.536,                 1.0762,             0.00077975,             0.00077975,             0.00077975
                     41,                0.66889,                 1.0867,                0.99421,                0.97833,                0.93248,                0.94618,                0.79074,                0.72038,                  1.536,                 1.0762,             0.00076738,             0.00076738,             0.00076738
                     42,                0.72983,                 1.1936,                 1.1028,                0.96576,                0.92807,                0.94575,                0.76365,                0.76187,                 1.4797,                 1.1037,               0.000755,               0.000755,               0.000755
                     43,                 0.7609,                 1.1483,                 1.0664,                0.96328,                0.92843,                0.94529,                0.74934,                0.80733,                 1.4586,                 1.1657,             0.00074263,             0.00074263,             0.00074263
                     44,                0.68153,                 1.1003,                 1.0563,                0.98382,                0.93811,                0.94586,                0.74465,                0.79078,                 1.4374,                 1.1564,             0.00073025,             0.00073025,             0.00073025
                     45,                0.63481,                 1.0775,                 1.0336,                0.98382,                0.93811,                0.94586,                0.74465,                0.79078,                 1.4374,                 1.1564,             0.00071788,             0.00071788,             0.00071788
                     46,                0.71267,                 1.1545,                 1.0749,                0.98246,                0.94543,                0.94606,                 0.7397,                0.82709,                  1.458,                 1.1928,              0.0007055,              0.0007055,              0.0007055
                     47,                0.78022,                 1.2369,                 1.1191,                0.98859,                0.93604,                0.94637,                0.77082,                0.76728,                 1.4354,                 1.1581,             0.00069313,             0.00069313,             0.00069313
                     48,                0.75602,                 1.2069,                 1.0767,                0.98323,                0.94521,                 0.9466,                0.76715,                0.72277,                 1.4092,                 1.1305,             0.00068075,             0.00068075,             0.00068075
                     49,                0.67321,                 1.0165,                  1.037,                0.98323,                0.94521,                 0.9466,                0.76715,                0.72277,                 1.4092,                 1.1305,             0.00066838,             0.00066838,             0.00066838
                     50,                0.71246,                 1.1184,                 1.0625,                0.93473,                   0.95,                 0.9426,                0.78626,                0.70281,                 1.3645,                 1.1381,               0.000656,               0.000656,               0.000656
                     51,                0.61008,                 1.0744,                0.98879,                 0.9157,                0.94436,                0.94215,                0.76273,                0.69144,                 1.3687,                 1.1389,             0.00064362,             0.00064362,             0.00064362
                     52,                0.69914,                 1.1643,                 1.1004,                0.91165,                0.92105,                0.94378,                0.77719,                0.66183,                 1.3112,                 1.0988,             0.00063125,             0.00063125,             0.00063125
                     53,                 0.7429,                  1.137,                 1.0878,                0.91165,                0.92105,                0.94378,                0.77719,                0.66183,                 1.3112,                 1.0988,             0.00061887,             0.00061887,             0.00061887
                     54,                0.70178,                  1.128,                 1.0878,                0.91691,                0.90392,                0.93901,                 0.7778,                0.64479,                 1.3546,                 1.0656,              0.0006065,              0.0006065,              0.0006065
                     55,                0.71326,                  1.175,                 1.0682,                0.89982,                0.90015,                0.94313,                0.77931,                0.66267,                 1.4162,                 1.0776,             0.00059413,             0.00059413,             0.00059413
                     56,                0.69117,                 1.0399,                 1.0037,                0.91581,                0.90231,                0.94298,                0.77689,                0.65226,                 1.4191,                 1.0728,             0.00058175,             0.00058175,             0.00058175
                     57,                0.60739,                 1.0811,                 1.0348,                0.91581,                0.90231,                0.94298,                0.77689,                0.65226,                 1.4191,                 1.0728,             0.00056938,             0.00056938,             0.00056938
                     58,                0.59366,                 1.0252,                0.98539,                0.96046,                0.91554,                0.94508,                0.78517,                0.65467,                 1.3558,                 1.0709,               0.000557,               0.000557,               0.000557
