                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0157,                  3.779,                 1.4133,                0.73069,                0.30482,                0.57758,                0.44245,                0.70936,                 2.7806,                 1.2006,              0.0032963,              0.0032963,              0.0032963
                      2,                 1.0019,                 2.4149,                 1.3466,                0.91404,                0.93353,                0.97413,                0.68737,                 1.0196,                 1.5112,                 1.4335,              0.0066231,              0.0066231,              0.0066231
                      3,                 1.0269,                 1.8721,                  1.302,                0.79756,                0.87019,                0.97364,                0.63778,                 1.1916,                  1.826,                 1.6435,              0.0099432,              0.0099432,              0.0099432
                      4,                  1.047,                 1.7428,                 1.2996,                  0.916,                0.98822,                0.98694,                0.69778,                  1.036,                 1.2724,                 1.4068,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.0264,                 1.5776,                 1.2736,                0.92335,                0.94453,                0.99272,                0.69995,                 1.0129,                 1.2182,                 1.4091,              0.0099604,              0.0099604,              0.0099604
                      6,                0.99876,                 1.3631,                 1.2456,                0.95764,                0.97114,                  0.995,                0.70787,                 1.0015,                 1.0166,                 1.3914,              0.0099505,              0.0099505,              0.0099505
                      7,                 0.9623,                 1.2727,                  1.227,                  0.957,                0.98127,                0.98757,                0.71311,                0.95281,                0.91023,                 1.3604,              0.0099406,              0.0099406,              0.0099406
                      8,                 0.9382,                 1.1775,                 1.2138,                0.85364,                0.92195,                0.96249,                0.68871,                0.99269,                0.93607,                 1.3565,              0.0099307,              0.0099307,              0.0099307
                      9,                0.91606,                 1.0732,                 1.1903,                0.96728,                0.97625,                0.98733,                0.71706,                0.97062,                0.74929,                 1.3646,              0.0099208,              0.0099208,              0.0099208
                     10,                0.92072,                 1.0376,                 1.1984,                0.96912,                0.97932,                0.99338,                0.75391,                0.86787,                0.61795,                 1.3019,              0.0099109,              0.0099109,              0.0099109
                     11,                0.91157,                0.95397,                  1.181,                0.96259,                0.99583,                0.99107,                0.76902,                 0.8347,                0.60695,                 1.2899,               0.009901,               0.009901,               0.009901
                     12,                0.87924,                0.88178,                 1.1784,                0.96312,                0.99583,                0.99201,                0.78637,                0.77347,                0.57189,                 1.2023,              0.0098911,              0.0098911,              0.0098911
