                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4863,                  3.726,                 1.7961,                0.00244,                    0.7,                0.01102,                0.00458,                 1.5149,                 4.2152,                 2.1676,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.3954,                 3.7217,                 1.7607,                0.00281,                  0.825,                0.01999,                 0.0088,                 1.3265,                 4.1616,                  1.965,             6.2191e-05,             6.2191e-05,             6.2191e-05
                      3,                 1.1558,                 3.6182,                 1.6169,                0.00334,                  0.975,                0.09731,                0.05831,                 0.9751,                 3.9435,                 1.5666,              9.901e-05,              9.901e-05,              9.901e-05
                      4,                 1.0548,                 3.4895,                 1.4716,                0.00349,                  0.975,                0.59588,                0.40782,                0.78861,                 3.7374,                 1.3308,             0.00013546,             0.00013546,             0.00013546
                      5,                 1.1219,                 3.1747,                 1.4515,                 0.0038,                      1,                0.48762,                0.32599,                0.88362,                 3.5549,                 1.2895,             0.00017154,             0.00017154,             0.00017154
                      6,                0.90361,                 2.5658,                  1.288,                0.00398,                      1,                0.60585,                0.42645,                 0.8379,                 3.3513,                 1.2156,             0.00020724,             0.00020724,             0.00020724
                      7,                0.79549,                 2.2955,                 1.2266,                0.00392,                      1,                0.75002,                0.56578,                0.74944,                 3.3491,                 1.1989,             0.00024258,             0.00024258,             0.00024258
                      8,                0.81814,                 1.9909,                 1.1841,                0.00381,                      1,                0.77118,                0.56936,                0.71469,                 3.3176,                 1.1703,             0.00027754,             0.00027754,             0.00027754
                      9,                0.76202,                 1.9033,                 1.1339,                0.00376,                      1,                0.89195,                0.63665,                0.70775,                 3.1757,                 1.1903,             0.00031213,             0.00031213,             0.00031213
                     10,                0.81481,                 1.7819,                 1.1523,                0.91327,                 0.3912,                0.87036,                0.59881,                0.73574,                 3.1183,                 1.2014,             0.00034635,             0.00034635,             0.00034635
                     11,                0.76436,                 1.7078,                 1.1628,                 0.5339,                    0.7,                 0.7543,                0.60335,                0.69573,                 3.0912,                 1.1068,              0.0003802,              0.0003802,              0.0003802
                     12,                0.84104,                  1.766,                 1.1825,                 0.0357,                  0.975,                0.73273,                0.57012,                0.70354,                 3.1201,                 1.1123,             0.00041368,             0.00041368,             0.00041368
                     13,                 0.7633,                 1.5007,                 1.1175,                0.00348,                      1,                 0.7592,                0.60253,                0.69299,                 3.1276,                 1.1132,             0.00044678,             0.00044678,             0.00044678
                     14,                0.67787,                 1.4307,                 1.0401,                0.00344,                      1,                0.77778,                0.62846,                 0.7072,                 3.0693,                 1.1254,             0.00047952,             0.00047952,             0.00047952
                     15,                0.73728,                 1.4609,                 1.0993,                0.94797,                0.52606,                0.75647,                0.57485,                0.80128,                 3.0394,                 1.1842,             0.00051188,             0.00051188,             0.00051188
                     16,                0.75643,                 1.4421,                 1.1206,                0.99359,                0.26591,                0.72393,                0.55704,                0.80824,                 3.0825,                 1.2153,             0.00054388,             0.00054388,             0.00054388
