                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0115,                 3.4879,                 1.4037,                 0.7906,                0.87316,                0.92041,                0.69901,                0.85316,                 1.6281,                 1.2755,              0.0033148,              0.0033148,              0.0033148
                      2,                0.95541,                 1.9567,                 1.2859,                0.95621,                0.97467,                0.99482,                0.69961,                 1.0377,                 1.2821,                  1.432,              0.0066416,              0.0066416,              0.0066416
                      3,                0.99182,                 1.6639,                 1.2691,                0.91337,                0.87094,                0.97629,                0.72121,                0.93071,                 1.3363,                 1.3133,              0.0099617,              0.0099617,              0.0099617
                      4,                 1.0069,                 1.4323,                 1.2584,                0.97933,                 0.9886,                0.99367,                0.71517,                0.94744,                0.98108,                 1.3244,              0.0099703,              0.0099703,              0.0099703
                      5,                0.96583,                 1.2153,                 1.2296,                0.95421,                0.98418,                 0.9867,                0.75402,                0.84136,                0.77818,                 1.2673,              0.0099604,              0.0099604,              0.0099604
                      6,                0.94711,                 1.0747,                 1.2192,                0.94986,                0.94043,                0.96755,                 0.7318,                0.88233,                0.70966,                 1.2725,              0.0099505,              0.0099505,              0.0099505
                      7,                0.90681,                0.94667,                   1.19,                 0.9647,                 0.9889,                0.99242,                0.71292,                0.94997,                0.66294,                 1.3666,              0.0099406,              0.0099406,              0.0099406
                      8,                0.89373,                0.86269,                 1.1827,                 0.9686,                 0.9963,                0.99254,                0.74887,                0.84922,                 0.5343,                 1.2839,              0.0099307,              0.0099307,              0.0099307
                      9,                0.86917,                  0.815,                 1.1671,                  0.939,                0.93859,                0.98236,                0.79589,                0.72736,                0.55719,                 1.1674,              0.0099208,              0.0099208,              0.0099208
                     10,                0.85162,                 0.7563,                 1.1573,                0.98396,                0.99162,                0.99285,                0.75861,                0.87322,                0.50844,                 1.2916,              0.0099109,              0.0099109,              0.0099109
                     11,                0.84364,                0.73812,                 1.1577,                0.96047,                0.98799,                0.99265,                0.75399,                0.87615,                0.52757,                 1.2925,               0.009901,               0.009901,               0.009901
                     12,                0.81797,                0.69938,                 1.1419,                0.93193,                0.97402,                0.98185,                0.74952,                0.82832,                0.54625,                 1.2915,              0.0098911,              0.0098911,              0.0098911
                     13,                0.81065,                0.66654,                 1.1298,                 0.9819,                0.99538,                0.99442,                0.75843,                0.85238,                0.49183,                 1.2812,              0.0098812,              0.0098812,              0.0098812
                     14,                0.79299,                0.65767,                 1.1271,                0.97956,                0.99326,                0.99321,                0.74644,                0.86584,                0.48508,                 1.2979,              0.0098713,              0.0098713,              0.0098713
                     15,                0.79133,                 0.6312,                   1.12,                0.98541,                0.99808,                0.99383,                0.75732,                0.79028,                0.47834,                 1.2481,              0.0098614,              0.0098614,              0.0098614
                     16,                0.77936,                0.61144,                 1.1212,                 0.9844,                0.99281,                0.99326,                0.77525,                0.78458,                0.46106,                 1.2383,              0.0098515,              0.0098515,              0.0098515
                     17,                0.77862,                 0.6279,                 1.1201,                0.98442,                0.99583,                 0.9937,                0.78625,                   0.75,                0.45307,                 1.1726,              0.0098416,              0.0098416,              0.0098416
                     18,                0.77438,                0.59821,                 1.1096,                0.99023,                0.99375,                0.99428,                0.76397,                 0.8361,                0.44544,                 1.2715,              0.0098317,              0.0098317,              0.0098317
                     19,                0.75239,                0.57905,                 1.1064,                0.97798,                0.98387,                0.99087,                0.77566,                0.77833,                0.42941,                 1.1957,              0.0098218,              0.0098218,              0.0098218
                     20,                 0.7416,                0.56883,                 1.0994,                0.98718,                 0.9931,                  0.995,                0.77414,                0.79548,                 0.4416,                 1.2535,              0.0098119,              0.0098119,              0.0098119
                     21,                0.74916,                0.57773,                 1.0996,                0.97644,                0.99792,                0.99185,                0.77712,                0.76492,                0.45214,                 1.1961,               0.009802,               0.009802,               0.009802
                     22,                0.72529,                0.55338,                 1.0881,                0.99162,                0.99491,                0.99469,                0.77997,                0.78197,                  0.419,                  1.263,              0.0097921,              0.0097921,              0.0097921
                     23,                0.73544,                0.53935,                 1.0969,                0.98905,                0.99445,                0.99411,                0.76892,                0.80669,                0.42318,                  1.246,              0.0097822,              0.0097822,              0.0097822
                     24,                0.72565,                0.53535,                 1.0925,                0.98409,                0.99344,                0.99403,                0.78418,                0.75775,                0.41432,                 1.1961,              0.0097723,              0.0097723,              0.0097723
                     25,                0.72922,                0.53146,                 1.0929,                0.98506,                      1,                0.99439,                0.77085,                0.82161,                0.41643,                 1.2576,              0.0097624,              0.0097624,              0.0097624
                     26,                0.70928,                 0.5015,                 1.0804,                0.98745,                0.99583,                0.99455,                0.78553,                0.79826,                0.37866,                 1.2845,              0.0097525,              0.0097525,              0.0097525
                     27,                0.70927,                0.51692,                 1.0785,                0.99533,                0.99828,                  0.995,                0.81413,                0.68999,                0.36211,                 1.1486,              0.0097426,              0.0097426,              0.0097426
                     28,                0.71096,                0.51511,                 1.0798,                0.98228,                0.99792,                0.99482,                0.78619,                0.77199,                0.41812,                 1.2303,              0.0097327,              0.0097327,              0.0097327
                     29,                0.70675,                0.49553,                 1.0859,                0.99113,                      1,                0.99476,                0.76976,                0.80328,                0.42348,                  1.269,              0.0097228,              0.0097228,              0.0097228
                     30,                0.70455,                0.49583,                 1.0806,                0.99019,                 0.9965,                 0.9948,                0.78568,                0.80094,                0.40298,                 1.2622,              0.0097129,              0.0097129,              0.0097129
                     31,                0.69562,                0.49016,                 1.0754,                0.98369,                0.99509,                0.99496,                0.77979,                0.75366,                0.39641,                 1.2007,               0.009703,               0.009703,               0.009703
                     32,                 0.6905,                 0.4875,                 1.0722,                 0.9882,                0.99792,                0.99476,                0.78408,                0.76674,                0.36587,                 1.2304,              0.0096931,              0.0096931,              0.0096931
                     33,                0.67716,                0.48066,                 1.0678,                0.98515,                0.99397,                0.99467,                0.77576,                0.79037,                 0.4037,                 1.2518,              0.0096832,              0.0096832,              0.0096832
                     34,                0.67348,                0.47343,                 1.0661,                0.98581,                      1,                  0.995,                0.79608,                0.75001,                0.38856,                 1.2029,              0.0096733,              0.0096733,              0.0096733
                     35,                0.68722,                0.48051,                 1.0677,                0.98731,                0.99007,                  0.994,                0.78846,                0.72575,                0.37821,                 1.1861,              0.0096634,              0.0096634,              0.0096634
                     36,                0.67585,                0.46972,                 1.0608,                0.99244,                      1,                  0.995,                0.78883,                0.76126,                0.39778,                 1.2339,              0.0096535,              0.0096535,              0.0096535
                     37,                0.67848,                0.47999,                 1.0707,                0.98204,                0.99326,                0.99284,                0.76296,                0.86186,                0.41427,                 1.3764,              0.0096436,              0.0096436,              0.0096436
